model,horizon,release_stage,n,n_requested,rmse,mae,baseline_rmse,rel_rmse
ar4,1,first,4,4,0.5697928829974134,0.3999675258110927,2.3612709528664175,0.2413077085904625
ar4,1,second,4,4,0.5655335204471074,0.4164163146749466,2.369792760043261,0.2386426062153989
ar4,1,third,4,4,0.5859091477396909,0.4126073939076455,2.386953104867843,0.2454632001545462
auto_arima,1,first,4,4,0.6473615923193916,0.4297038251796939,2.3612709528664175,0.2741581145245275
auto_arima,1,second,4,4,0.6118285716165808,0.462394447461988,2.369792760043261,0.258178091321965
auto_arima,1,third,4,4,0.6440833032768234,0.486774940335165,2.386953104867843,0.2698349213326853
auto_ets,1,first,4,4,0.7398683999536084,0.5280835923416396,2.3612709528664175,0.3133348161740862
auto_ets,1,second,4,4,0.7063549123564491,0.5522127941780062,2.369792760043261,0.298066111208625
auto_ets,1,third,4,4,0.7340308103051857,0.564128583845446,2.386953104867843,0.307517901716727
bridge_ridge,1,first,4,4,0.4228009795447801,0.312990998626369,2.3612709528664175,0.1790565284477537
bridge_ridge,1,second,4,4,0.3394374558135453,0.265206729959323,2.369792760043261,0.1432350801035229
bridge_ridge,1,third,4,4,0.3388170461492038,0.2575727999002039,2.386953104867843,0.1419454137822129
bvar_minnesota_20,1,first,4,4,0.7149965324311879,0.4884552734745075,2.3612709528664175,0.3028015618297562
bvar_minnesota_20,1,second,4,4,0.7033515396477751,0.5125844753108741,2.369792760043261,0.2967987545184901
bvar_minnesota_20,1,third,4,4,0.727801820763582,0.5245002649783139,2.386953104867843,0.3049083030912238
bvar_minnesota_8,1,first,4,4,0.4468313060616853,0.3600575879931141,2.3612709528664175,0.189233389552039
bvar_minnesota_8,1,second,4,4,0.419485635969729,0.376506376856968,2.369792760043261,0.1770136372439888
bvar_minnesota_8,1,third,4,4,0.4332870920560713,0.3726974560896668,2.386953104867843,0.1815230852975056
bvar_minnesota_growth_20,1,first,4,4,0.6414472049975183,0.4329926084690919,2.3612709528664175,0.2716533671067466
bvar_minnesota_growth_20,1,second,4,4,0.6314219096522787,0.4494413973329457,2.369792760043261,0.2664460455355396
bvar_minnesota_growth_20,1,third,4,4,0.6535660935627802,0.4456365921732973,2.386953104867843,0.2738076806913078
bvar_minnesota_growth_8,1,first,4,4,0.5981133093499537,0.486596169863751,2.3612709528664175,0.2533014301572998
bvar_minnesota_growth_8,1,second,4,4,0.5867975026880654,0.5030449587276049,2.369792760043261,0.2476155352408762
bvar_minnesota_growth_8,1,third,4,4,0.5998027088583888,0.4992360379603038,2.386953104867843,0.2512838260773446
drift,1,first,4,4,0.7382185669038341,0.5266028243279122,2.3612709528664175,0.3126361106537513
drift,1,second,4,4,0.7049257139847113,0.5507320261642787,2.369792760043261,0.2974630211849591
drift,1,third,4,4,0.7326203714963105,0.5626478158317185,2.386953104867843,0.3069270066522204
ensemble_avg_top3,1,first,4,4,0.5757270312096819,0.3874957197993827,2.3612709528664175,0.2438208247599834
ensemble_avg_top3,1,second,4,4,0.5483061601398546,0.4201863420816767,2.369792760043261,0.2313730421430797
ensemble_avg_top3,1,third,4,4,0.578308693208279,0.4445668349548538,2.386953104867843,0.2422790343173909
ensemble_weighted_top5,1,first,4,4,0.5385922402138494,0.319305052122005,2.3612709528664175,0.2280942132287005
ensemble_weighted_top5,1,second,4,4,0.4932863857717267,0.3254554595607067,2.369792760043261,0.2081559172974778
ensemble_weighted_top5,1,third,4,4,0.5227084902938776,0.3373712492281465,2.386953104867843,0.2189856554902104
factor_pca_qd,1,first,4,4,0.5021079934948313,0.4058198069975691,2.3612709528664175,0.2126431076811864
